timestamp_ms,timestamp,water_flow,sensor_alive
1778313936105,2026-05-09 11:05:36,0.0,1
1778313937113,2026-05-09 11:05:37,0.0,1
1778313938116,2026-05-09 11:05:38,0.0,1
1778313939120,2026-05-09 11:05:39,0.0,1
1778313940126,2026-05-09 11:05:40,0.0,1
1778313941129,2026-05-09 11:05:41,0.0,1
1778313942134,2026-05-09 11:05:42,0.0,1
1778313943143,2026-05-09 11:05:43,0.0,1
1778313944153,2026-05-09 11:05:44,0.0,1
1778313945155,2026-05-09 11:05:45,0.0,1
1778313946166,2026-05-09 11:05:46,0.0,1
1778313947171,2026-05-09 11:05:47,0.0,1
1778313948174,2026-05-09 11:05:48,0.0,1
1778313949178,2026-05-09 11:05:49,0.0,1
1778313950183,2026-05-09 11:05:50,0.0,1
1778313951189,2026-05-09 11:05:51,0.0,1
1778313952195,2026-05-09 11:05:52,0.0,1
1778313953199,2026-05-09 11:05:53,0.0,1
1778313954205,2026-05-09 11:05:54,0.0,1
1778313955210,2026-05-09 11:05:55,0.0,1
1778313956215,2026-05-09 11:05:56,0.0,1
1778313957221,2026-05-09 11:05:57,0.0,1
1778313958226,2026-05-09 11:05:58,0.0,1
1778313959232,2026-05-09 11:05:59,0.0,1
1778313960237,2026-05-09 11:06:00,0.0,1
1778313961241,2026-05-09 11:06:01,0.0,1
1778313962249,2026-05-09 11:06:02,0.0,1
1778313963252,2026-05-09 11:06:03,0.0,1
1778313964255,2026-05-09 11:06:04,0.0,1
1778313965258,2026-05-09 11:06:05,0.0,1
1778313966265,2026-05-09 11:06:06,0.0,1
1778313967270,2026-05-09 11:06:07,0.0,1
1778313968288,2026-05-09 11:06:08,0.0,1
1778313969331,2026-05-09 11:06:09,0.0,1
1778313970334,2026-05-09 11:06:10,0.0,1
1778313971337,2026-05-09 11:06:11,0.0,1
1778313972342,2026-05-09 11:06:12,0.0,1
1778313973345,2026-05-09 11:06:13,0.0,1
1778313974350,2026-05-09 11:06:14,0.0,1
1778313975354,2026-05-09 11:06:15,0.0,1
1778313976358,2026-05-09 11:06:16,0.0,1
1778313977362,2026-05-09 11:06:17,0.0,1
1778313978367,2026-05-09 11:06:18,0.0,1
1778313979370,2026-05-09 11:06:19,0.0,1
1778313980376,2026-05-09 11:06:20,0.0,1
1778313981385,2026-05-09 11:06:21,0.0,1
1778313982430,2026-05-09 11:06:22,0.0,1
1778313983434,2026-05-09 11:06:23,0.0,1
1778313984440,2026-05-09 11:06:24,0.0,1
1778313985444,2026-05-09 11:06:25,0.0,1
1778313986450,2026-05-09 11:06:26,0.0,1
1778313987455,2026-05-09 11:06:27,0.0,1
1778313988459,2026-05-09 11:06:28,0.0,1
