timestamp_ms,timestamp,water_flow,sensor_alive
1778499673713,2026-05-11 14:41:13,0.0,1
1778499674716,2026-05-11 14:41:14,0.0,1
1778499675718,2026-05-11 14:41:15,0.0,1
1778499676720,2026-05-11 14:41:16,0.0,1
1778499677722,2026-05-11 14:41:17,0.0,1
1778499678728,2026-05-11 14:41:18,0.0,1
1778499679730,2026-05-11 14:41:19,0.0,1
1778499680734,2026-05-11 14:41:20,0.0,1
1778499681739,2026-05-11 14:41:21,1.83,1
1778499682740,2026-05-11 14:41:22,1.82,1
1778499683746,2026-05-11 14:41:23,2.31,1
1778499684752,2026-05-11 14:41:24,2.3,1
1778499685754,2026-05-11 14:41:25,1.73,1
1778499686762,2026-05-11 14:41:26,2.02,1
1778499687765,2026-05-11 14:41:27,1.84,1
1778499688767,2026-05-11 14:41:28,1.98,1
1778499689771,2026-05-11 14:41:29,1.55,1
1778499690776,2026-05-11 14:41:30,2.21,1
1778499691779,2026-05-11 14:41:31,1.97,1
1778499692785,2026-05-11 14:41:32,1.57,1
1778499693791,2026-05-11 14:41:33,1.75,1
1778499694794,2026-05-11 14:41:34,2.05,1
1778499695797,2026-05-11 14:41:35,1.71,1
1778499696799,2026-05-11 14:41:36,2.43,1
1778499697804,2026-05-11 14:41:37,2.38,1
1778499698807,2026-05-11 14:41:38,1.84,1
1778499699809,2026-05-11 14:41:39,1.93,1
1778499700811,2026-05-11 14:41:40,1.93,1
1778499701813,2026-05-11 14:41:41,2.47,1
1778499702815,2026-05-11 14:41:42,1.89,1
1778499703816,2026-05-11 14:41:43,1.57,1
1778499704822,2026-05-11 14:41:44,2.45,1
1778499705827,2026-05-11 14:41:45,1.95,1
1778499706832,2026-05-11 14:41:46,2.16,1
1778499707838,2026-05-11 14:41:47,2.45,1
1778499708844,2026-05-11 14:41:48,1.84,1
1778499709851,2026-05-11 14:41:49,0.0,1
1778499710855,2026-05-11 14:41:50,0.0,1
1778499711859,2026-05-11 14:41:51,0.0,1
1778499712865,2026-05-11 14:41:52,0.0,1
1778499713871,2026-05-11 14:41:53,0.0,1
1778499714877,2026-05-11 14:41:54,0.0,1
1778499715883,2026-05-11 14:41:55,0.0,1
1778499716888,2026-05-11 14:41:56,0.0,1
1778499717894,2026-05-11 14:41:57,0.0,1
1778499718899,2026-05-11 14:41:58,0.0,1
1778499719905,2026-05-11 14:41:59,0.0,1
1778499720908,2026-05-11 14:42:00,0.0,1
1778499721913,2026-05-11 14:42:01,0.0,1
1778499722918,2026-05-11 14:42:02,0.0,1
1778499723923,2026-05-11 14:42:03,0.0,1
1778499724928,2026-05-11 14:42:04,0.0,1
1778499725932,2026-05-11 14:42:05,0.0,1
1778499726938,2026-05-11 14:42:06,0.0,1
1778499727941,2026-05-11 14:42:07,0.0,1
1778499728947,2026-05-11 14:42:08,0.0,1
