timestamp_ms,timestamp,watering,watering_until,last_command
1778313934477,2026-05-09 11:05:34,False,0,boot
1778314039593,2026-05-09 11:07:19,True,1778314069593,attrUpdate:start(30.0s)
1778314070420,2026-05-09 11:07:50,False,0,autoStop:stop
1778314122766,2026-05-09 11:08:42,True,1778314152766,attrUpdate:start(30.0s)
1778314153597,2026-05-09 11:09:13,False,0,autoStop:stop
1778314297380,2026-05-09 11:11:37,True,1778314327380,attrUpdate:start(30.0s)
1778314327845,2026-05-09 11:12:07,False,0,autoStop:stop
1778314387566,2026-05-09 11:13:07,True,1778314417566,attrUpdate:start(30.0s)
1778314418024,2026-05-09 11:13:38,False,0,autoStop:stop
1778314528205,2026-05-09 11:15:28,True,1778314558205,attrUpdate:start(30.0s)
1778314558227,2026-05-09 11:15:58,False,0,autoStop:stop
1778314653673,2026-05-09 11:17:33,True,1778314683673,attrUpdate:start(30.0s)
1778314684435,2026-05-09 11:18:04,False,0,autoStop:stop
1778314732776,2026-05-09 11:18:52,True,1778314762776,attrUpdate:start(30.0s)
1778314763612,2026-05-09 11:19:23,False,0,autoStop:stop
1778314910286,2026-05-09 11:21:50,True,1778314940286,attrUpdate:start(30.0s)
1778314940904,2026-05-09 11:22:20,False,0,autoStop:stop
1778315000487,2026-05-09 11:23:20,True,1778315030487,attrUpdate:start(30.0s)
1778315031110,2026-05-09 11:23:51,False,0,autoStop:stop
1778315145951,2026-05-09 11:25:45,True,1778315175951,attrUpdate:start(30.0s)
1778315176053,2026-05-09 11:26:16,False,0,attrUpdate:stop
1778315268217,2026-05-09 11:27:48,True,1778315298217,attrUpdate:start(30.0s)
1778315298398,2026-05-09 11:28:18,False,0,autoStop:stop
1778315344423,2026-05-09 11:29:04,True,1778315374423,attrUpdate:start(30.0s)
1778315374561,2026-05-09 11:29:34,False,0,autoStop:stop
1778315504829,2026-05-09 11:31:44,True,1778315534829,attrUpdate:start(30.0s)
1778315535806,2026-05-09 11:32:15,False,0,autoStop:stop
1778315595217,2026-05-09 11:33:15,True,1778315625217,attrUpdate:start(30.0s)
1778315625975,2026-05-09 11:33:45,False,0,autoStop:stop
1778315730476,2026-05-09 11:35:30,True,1778315760476,attrUpdate:start(30.0s)
1778315760455,2026-05-09 11:36:00,False,0,attrUpdate:stop
1778315861765,2026-05-09 11:37:41,True,1778315891765,attrUpdate:start(30.0s)
1778315892226,2026-05-09 11:38:12,False,0,autoStop:stop
1778315938088,2026-05-09 11:38:58,True,1778315968088,attrUpdate:start(30.0s)
1778315967166,2026-05-09 11:39:27,False,0,attrUpdate:stop
1778316095518,2026-05-09 11:41:35,True,1778316125518,attrUpdate:start(30.0s)
1778316125643,2026-05-09 11:42:05,False,0,attrUpdate:stop
1778316192899,2026-05-09 11:43:12,True,1778316222899,attrUpdate:start(30.0s)
1778316223518,2026-05-09 11:43:43,False,0,autoStop:stop
1778316303238,2026-05-09 11:45:03,True,1778316333238,attrUpdate:start(30.0s)
1778316333282,2026-05-09 11:45:33,False,0,attrUpdate:stop
1778316450580,2026-05-09 11:47:30,True,1778316480580,attrUpdate:start(30.0s)
1778316480789,2026-05-09 11:48:00,False,0,autoStop:stop
1778316527865,2026-05-09 11:48:47,True,1778316557865,attrUpdate:start(30.0s)
1778316557947,2026-05-09 11:49:17,False,0,autoStop:stop
1778316695487,2026-05-09 11:51:35,True,1778316725487,attrUpdate:start(30.0s)
1778316723463,2026-05-09 11:52:03,False,0,attrUpdate:stop
1778316791549,2026-05-09 11:53:11,True,1778316821549,attrUpdate:start(30.0s)
1778316822191,2026-05-09 11:53:42,False,0,autoStop:stop
1778316901050,2026-05-09 11:55:01,True,1778316931050,attrUpdate:start(30.0s)
1778316930149,2026-05-09 11:55:30,False,0,attrUpdate:stop
1778317056540,2026-05-09 11:57:36,True,1778317086540,attrUpdate:start(30.0s)
1778317087509,2026-05-09 11:58:07,False,0,autoStop:stop
1778317128578,2026-05-09 11:58:48,True,1778317158578,attrUpdate:start(30.0s)
1778317158692,2026-05-09 11:59:18,False,0,autoStop:stop
1778317299224,2026-05-09 12:01:39,True,1778317329224,attrUpdate:start(30.0s)
1778317329223,2026-05-09 12:02:09,False,0,attrUpdate:stop
1778317397391,2026-05-09 12:03:17,True,1778317427391,attrUpdate:start(30.0s)
1778317428003,2026-05-09 12:03:48,False,0,autoStop:stop
1778317510274,2026-05-09 12:05:10,False,0,shutdown
