timestamp_ms,timestamp,temperature,air_humidity,soil_moisture,water_flow,watering,soil_moisture_change,soil_moisture_change_10,soil_moisture_std_10
1778499672676,2026-05-11 14:41:12,20.59,66.26,40.22,0.0,0,0.0,0.0,0.0
1778499673679,2026-05-11 14:41:13,20.15,66.26,40.21,0.0,0,-0.00999999999999801,0.0,0.0
1778499674681,2026-05-11 14:41:14,20.19,65.99,40.19,0.0,0,-0.020000000000003126,0.0,0.0
1778499675684,2026-05-11 14:41:15,20.08,66.68,40.15,0.0,0,-0.03999999999999915,0.0,0.0
1778499676687,2026-05-11 14:41:16,20.09,66.29,40.14,0.0,0,-0.00999999999999801,0.0,0.0
1778499677689,2026-05-11 14:41:17,20.38,66.5,40.09,0.0,0,-0.04999999999999716,0.0,0.0
1778499678694,2026-05-11 14:41:18,20.34,66.88,40.03,0.0,0,-0.060000000000002274,0.0,0.0
1778499679696,2026-05-11 14:41:19,20.26,66.42,40.0,0.0,0,-0.030000000000001137,0.0,0.0
1778499680700,2026-05-11 14:41:20,20.37,66.9,39.93,0.0,0,-0.07000000000000028,0.0,0.0
1778499681705,2026-05-11 14:41:21,19.99,66.82,39.92,1.83,1,-0.00999999999999801,0.0,0.11232888220657322
1778499682710,2026-05-11 14:41:22,20.04,66.51,40.08,1.82,1,0.1599999999999966,-0.14000000000000057,0.10232844722320203
1778499683717,2026-05-11 14:41:23,20.12,67.35,40.24,2.31,1,0.1600000000000037,0.030000000000001137,0.10708771067577418
1778499684723,2026-05-11 14:41:24,20.28,66.62,40.47,2.3,1,0.22999999999999687,0.28000000000000114,0.16229260269306547
1778499685726,2026-05-11 14:41:25,20.21,66.94,40.68,1.73,1,0.21000000000000085,0.5300000000000011,0.24439494448308266
1778499686731,2026-05-11 14:41:26,19.98,67.22,40.83,2.02,1,0.14999999999999858,0.6899999999999977,0.3233865935515699
1778499687734,2026-05-11 14:41:27,20.24,67.5,41.05,1.84,1,0.21999999999999886,0.9599999999999937,0.4092825701422196
1778499688737,2026-05-11 14:41:28,20.11,67.08,41.2,1.98,1,0.15000000000000568,1.1700000000000017,0.47772609539590977
1778499689741,2026-05-11 14:41:29,20.16,67.75,41.41,1.55,1,0.20999999999999375,1.4099999999999966,0.5377411603695177
1778499690745,2026-05-11 14:41:30,20.06,67.01,41.59,2.21,1,0.18000000000000682,1.6600000000000037,0.5697182539544352
1778499691750,2026-05-11 14:41:31,19.78,67.19,41.76,1.97,1,0.1699999999999946,1.8399999999999963,0.5700769928507723
1778499692756,2026-05-11 14:41:32,19.95,67.48,41.95,1.57,1,0.19000000000000483,1.8700000000000045,0.5666039180944674
1778499693762,2026-05-11 14:41:33,19.85,67.26,42.05,1.75,1,0.09999999999999432,1.8099999999999952,0.5435980950011589
1778499694765,2026-05-11 14:41:34,20.22,67.5,42.24,2.05,1,0.19000000000000483,1.7700000000000031,0.5317100295796138
1778499695767,2026-05-11 14:41:35,19.91,67.27,42.39,1.71,1,0.14999999999999858,1.7100000000000009,0.5221547237702163
1778499696769,2026-05-11 14:41:36,19.9,68.02,42.53,2.43,1,0.14000000000000057,1.7000000000000028,0.5029921581010023
1778499697773,2026-05-11 14:41:37,19.94,67.62,42.78,2.38,1,0.25,1.730000000000004,0.5073679357450683
1778499698776,2026-05-11 14:41:38,20.11,67.83,43.02,1.84,1,0.240000000000002,1.8200000000000003,0.5187977554992866
1778499699778,2026-05-11 14:41:39,19.9,67.65,43.2,1.93,1,0.17999999999999972,1.7900000000000063,0.5352143911036266
1778499700780,2026-05-11 14:41:40,20.23,68.12,43.4,1.93,1,0.19999999999999574,1.8099999999999952,0.5549534515013944
1778499701782,2026-05-11 14:41:41,19.97,67.91,43.61,2.47,1,0.21000000000000085,1.8500000000000014,0.5769276865912466
1778499702784,2026-05-11 14:41:42,20.14,67.79,43.84,1.89,1,0.23000000000000398,1.8900000000000006,0.6065604302586215
1778499703787,2026-05-11 14:41:43,19.88,68.07,44.11,1.57,1,0.269999999999996,2.0600000000000023,0.6327857281716603
1778499704793,2026-05-11 14:41:44,19.94,68.04,44.22,2.45,1,0.10999999999999943,1.9799999999999969,0.6393573161994248
1778499705796,2026-05-11 14:41:45,20.33,67.61,44.44,1.95,1,0.21999999999999886,2.049999999999997,0.6402473480355951
1778499706801,2026-05-11 14:41:46,20.28,68.47,44.66,2.16,1,0.21999999999999886,2.1299999999999955,0.6303755494411811
1778499707806,2026-05-11 14:41:47,20.42,68.41,44.9,2.45,1,0.240000000000002,2.1199999999999974,0.6326136261573337
1778499708812,2026-05-11 14:41:48,19.98,68.37,45.16,1.84,1,0.259999999999998,2.1399999999999935,0.6485745052719957
1778499709816,2026-05-11 14:41:49,20.44,68.06,45.12,0.0,0,-0.03999999999999915,1.9199999999999946,0.6182627992114756
1778499710819,2026-05-11 14:41:50,20.2,68.0,45.07,0.0,0,-0.04999999999999716,1.6700000000000017,0.5568372991976145
1778499711823,2026-05-11 14:41:51,20.36,68.16,45.03,0.0,0,-0.03999999999999915,1.4200000000000017,0.4761944047456078
1778499712828,2026-05-11 14:41:52,20.56,67.97,44.97,0.0,0,-0.060000000000002274,1.1299999999999955,0.3870343079824669
1778499713834,2026-05-11 14:41:53,20.33,67.44,44.94,0.0,0,-0.030000000000001137,0.8299999999999983,0.31196331693168855
