timestamp_ms,timestamp,temperature,air_humidity,soil_moisture,water_flow,watering,is_anomaly,anomaly_type
1778313934950,2026-05-09 11:05:34,20.26,68.35,44.23,0.0,0,0,normal
1778313935957,2026-05-09 11:05:35,20.26,68.35,44.2,0.0,0,0,normal
1778313936960,2026-05-09 11:05:36,20.28,67.67,44.16,0.0,0,0,normal
1778313937963,2026-05-09 11:05:37,20.35,67.65,44.11,0.0,0,0,normal
1778313938968,2026-05-09 11:05:38,20.22,68.01,44.06,0.0,0,0,normal
1778313939971,2026-05-09 11:05:39,20.52,68.19,44.0,0.0,0,0,normal
1778313940976,2026-05-09 11:05:40,20.23,68.33,43.96,0.0,0,0,normal
1778313941981,2026-05-09 11:05:41,20.54,68.13,43.93,0.0,0,0,normal
1778313942987,2026-05-09 11:05:42,20.26,67.94,43.89,0.0,0,0,normal
1778313943991,2026-05-09 11:05:43,20.51,67.97,43.87,0.0,0,0,normal
1778313944997,2026-05-09 11:05:44,20.4,68.26,43.82,0.0,0,0,normal
1778313946004,2026-05-09 11:05:46,20.45,68.0,43.8,0.0,0,0,normal
1778313947010,2026-05-09 11:05:47,20.74,67.21,43.77,0.0,0,0,normal
1778313948015,2026-05-09 11:05:48,20.41,67.74,43.76,0.0,0,0,normal
1778313949019,2026-05-09 11:05:49,20.54,67.52,43.76,0.0,0,0,normal
1778313950028,2026-05-09 11:05:50,20.92,67.45,43.73,0.0,0,0,normal
1778313951032,2026-05-09 11:05:51,20.65,67.47,43.68,0.0,0,0,normal
1778313952038,2026-05-09 11:05:52,20.7,67.77,43.63,0.0,0,0,normal
1778313953046,2026-05-09 11:05:53,20.85,67.73,43.56,0.0,0,0,normal
1778313954051,2026-05-09 11:05:54,20.73,67.14,43.57,0.0,0,0,normal
1778313955055,2026-05-09 11:05:55,20.76,66.92,43.55,0.0,0,0,normal
1778313956061,2026-05-09 11:05:56,21.08,67.05,43.55,0.0,0,0,normal
1778313957066,2026-05-09 11:05:57,21.15,67.5,43.55,0.0,0,0,normal
1778313958071,2026-05-09 11:05:58,21.3,66.78,43.49,0.0,0,0,normal
