timestamp_ms,timestamp,temperature,air_humidity,soil_moisture,water_flow,watering
1778499672676,2026-05-11 14:41:12,20.59,66.26,40.22,0.0,0
1778499673679,2026-05-11 14:41:13,20.15,66.26,40.21,0.0,0
1778499674681,2026-05-11 14:41:14,20.19,65.99,40.19,0.0,0
1778499675684,2026-05-11 14:41:15,20.08,66.68,40.15,0.0,0
1778499676687,2026-05-11 14:41:16,20.09,66.29,40.14,0.0,0
1778499677689,2026-05-11 14:41:17,20.38,66.5,40.09,0.0,0
1778499678694,2026-05-11 14:41:18,20.34,66.88,40.03,0.0,0
1778499679696,2026-05-11 14:41:19,20.26,66.42,40.0,0.0,0
1778499680700,2026-05-11 14:41:20,20.37,66.9,39.93,0.0,0
1778499681705,2026-05-11 14:41:21,19.99,66.82,39.92,1.83,1
1778499682710,2026-05-11 14:41:22,20.04,66.51,40.08,1.82,1
1778499683717,2026-05-11 14:41:23,20.12,67.35,40.24,2.31,1
1778499684723,2026-05-11 14:41:24,20.28,66.62,40.47,2.3,1
1778499685726,2026-05-11 14:41:25,20.21,66.94,40.68,1.73,1
1778499686731,2026-05-11 14:41:26,19.98,67.22,40.83,2.02,1
1778499687734,2026-05-11 14:41:27,20.24,67.5,41.05,1.84,1
1778499688737,2026-05-11 14:41:28,20.11,67.08,41.2,1.98,1
1778499689741,2026-05-11 14:41:29,20.16,67.75,41.41,1.55,1
1778499690745,2026-05-11 14:41:30,20.06,67.01,41.59,2.21,1
1778499691750,2026-05-11 14:41:31,19.78,67.19,41.76,1.97,1
1778499692756,2026-05-11 14:41:32,19.95,67.48,41.95,1.57,1
1778499693762,2026-05-11 14:41:33,19.85,67.26,42.05,1.75,1
1778499694765,2026-05-11 14:41:34,20.22,67.5,42.24,2.05,1
1778499695767,2026-05-11 14:41:35,19.91,67.27,42.39,1.71,1
1778499696769,2026-05-11 14:41:36,19.9,68.02,42.53,2.43,1
1778499697773,2026-05-11 14:41:37,19.94,67.62,42.78,2.38,1
1778499698776,2026-05-11 14:41:38,20.11,67.83,43.02,1.84,1
1778499699778,2026-05-11 14:41:39,19.9,67.65,43.2,1.93,1
1778499700780,2026-05-11 14:41:40,20.23,68.12,43.4,1.93,1
1778499701782,2026-05-11 14:41:41,19.97,67.91,43.61,2.47,1
1778499702784,2026-05-11 14:41:42,20.14,67.79,43.84,1.89,1
