timestamp_ms,timestamp,temperature,air_humidity,soil_moisture,water_flow,watering,is_anomaly,anomaly_type,soil_moisture_change,soil_moisture_change_10,soil_moisture_std_10
1778313934950,2026-05-09 11:05:34,20.26,68.35,44.23,0.0,0,0,normal,0.0,0.0,0.0
1778313935957,2026-05-09 11:05:35,20.26,68.35,44.2,0.0,0,0,normal,-0.02999999999999403,0.0,0.0
1778313936960,2026-05-09 11:05:36,20.28,67.67,44.16,0.0,0,0,normal,-0.04000000000000625,0.0,0.0
1778313937963,2026-05-09 11:05:37,20.35,67.65,44.11,0.0,0,0,normal,-0.04999999999999716,0.0,0.0
1778313938968,2026-05-09 11:05:38,20.22,68.01,44.06,0.0,0,0,normal,-0.04999999999999716,0.0,0.0
1778313939971,2026-05-09 11:05:39,20.52,68.19,44.0,0.0,0,0,normal,-0.060000000000002274,0.0,0.0
1778313940976,2026-05-09 11:05:40,20.23,68.33,43.96,0.0,0,0,normal,-0.03999999999999915,0.0,0.0
1778313941981,2026-05-09 11:05:41,20.54,68.13,43.93,0.0,0,0,normal,-0.030000000000001137,0.0,0.0
1778313942987,2026-05-09 11:05:42,20.26,67.94,43.89,0.0,0,0,normal,-0.03999999999999915,0.0,0.0
1778313943991,2026-05-09 11:05:43,20.51,67.97,43.87,0.0,0,0,normal,-0.020000000000003126,0.0,0.1303371695940082
1778313944997,2026-05-09 11:05:44,20.4,68.26,43.82,0.0,0,0,normal,-0.04999999999999716,-0.4099999999999966,0.12875471943885067
1778313946004,2026-05-09 11:05:46,20.45,68.0,43.8,0.0,0,0,normal,-0.020000000000003126,-0.4000000000000057,0.12165525060596061
1778313947010,2026-05-09 11:05:47,20.74,67.21,43.77,0.0,0,0,normal,-0.02999999999999403,-0.38999999999999346,0.11259070417518988
1778313948015,2026-05-09 11:05:48,20.41,67.74,43.76,0.0,0,0,normal,-0.010000000000005116,-0.3500000000000014,0.10112698288125013
1778313949019,2026-05-09 11:05:49,20.54,67.52,43.76,0.0,0,0,normal,0.0,-0.30000000000000426,0.08733078876698785
1778313950028,2026-05-09 11:05:50,20.92,67.45,43.73,0.0,0,0,normal,-0.030000000000001137,-0.2700000000000031,0.07922541679703585
1778313951032,2026-05-09 11:05:51,20.65,67.47,43.68,0.0,0,0,normal,-0.04999999999999716,-0.28000000000000114,0.07723700897596063
1778313952038,2026-05-09 11:05:52,20.7,67.77,43.63,0.0,0,0,normal,-0.04999999999999716,-0.29999999999999716,0.07978443178686057
1778313953046,2026-05-09 11:05:53,20.85,67.73,43.56,0.0,0,0,normal,-0.07000000000000028,-0.3299999999999983,0.09235198367596041
1778313954051,2026-05-09 11:05:54,20.73,67.14,43.57,0.0,0,0,normal,0.00999999999999801,-0.29999999999999716,0.09342852288720141
1778313955055,2026-05-09 11:05:55,20.76,66.92,43.55,0.0,0,0,normal,-0.020000000000003126,-0.2700000000000031,0.09643074659507617
1778313956061,2026-05-09 11:05:56,21.08,67.05,43.55,0.0,0,0,normal,0.0,-0.25,0.09453982112196034
1778313957066,2026-05-09 11:05:57,21.15,67.5,43.55,0.0,0,0,normal,0.0,-0.22000000000000597,0.09057838839612074
1778313958071,2026-05-09 11:05:58,21.3,66.78,43.49,0.0,0,0,normal,-0.05999999999999517,-0.269999999999996,0.08907549856407218
1778313959076,2026-05-09 11:05:59,21.24,66.69,43.45,0.0,0,0,normal,-0.03999999999999915,-0.30999999999999517,0.08369255907449256
1778313960082,2026-05-09 11:06:00,21.15,66.48,43.37,0.0,0,0,normal,-0.0800000000000054,-0.35999999999999943,0.08743251365731768
1778313961089,2026-05-09 11:06:01,21.35,66.34,43.32,0.0,0,0,normal,-0.04999999999999716,-0.35999999999999943,0.0969765149117884
1778313962098,2026-05-09 11:06:02,21.26,66.97,43.3,0.0,0,0,normal,-0.020000000000003126,-0.3300000000000054,0.10514011814923732
1778313963103,2026-05-09 11:06:03,21.47,66.46,43.3,0.0,0,0,normal,0.0,-0.2600000000000051,0.11257096527174723
1778313964106,2026-05-09 11:06:04,21.52,66.55,43.3,0.0,0,0,normal,0.0,-0.2700000000000031,0.1116343236742736
1778313965109,2026-05-09 11:06:05,21.45,66.79,43.23,0.0,0,0,normal,-0.07000000000000028,-0.3200000000000003,0.11539304812485586
1778313966117,2026-05-09 11:06:06,21.67,66.0,43.18,0.0,0,0,normal,-0.04999999999999716,-0.36999999999999744,0.11628031265480909
1778313967120,2026-05-09 11:06:07,21.79,66.16,43.15,0.0,0,0,normal,-0.030000000000001137,-0.3999999999999986,0.10795575225263689
1778313968126,2026-05-09 11:06:08,21.63,65.63,43.13,0.0,0,0,normal,-0.01999999999999602,-0.35999999999999943,0.10066997787042427
1778313969132,2026-05-09 11:06:09,22.1,65.55,43.09,0.0,0,0,normal,-0.03999999999999915,-0.35999999999999943,0.09452219022235349
1778313970135,2026-05-09 11:06:10,21.96,65.47,43.07,0.0,0,0,normal,-0.020000000000003126,-0.29999999999999716,0.09522488003543901
1778313971140,2026-05-09 11:06:11,21.78,66.01,43.02,0.0,0,0,normal,-0.04999999999999716,-0.29999999999999716,0.102637441727811
1778313972142,2026-05-09 11:06:12,21.88,65.45,43.0,0.0,0,0,normal,-0.020000000000003126,-0.29999999999999716,0.10646334789226486
1778313973146,2026-05-09 11:06:13,22.37,65.55,42.98,0.0,0,0,normal,-0.020000000000003126,-0.3200000000000003,0.10341394704984855
1778313974150,2026-05-09 11:06:14,22.21,64.88,42.91,0.0,0,0,normal,-0.07000000000000028,-0.39000000000000057,0.09935346552131433
1778313975153,2026-05-09 11:06:15,22.15,65.42,42.88,0.0,0,0,normal,-0.02999999999999403,-0.3499999999999943,0.10071411685219012
1778313976157,2026-05-09 11:06:16,22.26,65.15,42.83,0.0,0,0,normal,-0.05000000000000426,-0.3500000000000014,0.10762073323576926
1778313977160,2026-05-09 11:06:17,22.61,64.59,42.78,0.0,0,0,normal,-0.04999999999999716,-0.36999999999999744,0.11589746426131851
1778313978162,2026-05-09 11:06:18,22.41,65.21,42.75,0.0,0,0,normal,-0.030000000000001137,-0.38000000000000256,0.11948500603275189
1778313979165,2026-05-09 11:06:19,22.67,64.64,42.74,0.0,0,0,normal,-0.00999999999999801,-0.3500000000000014,0.11899579824505754
1778313980168,2026-05-09 11:06:20,22.91,64.43,42.68,0.0,0,0,normal,-0.060000000000002274,-0.39000000000000057,0.11954078801805108
1778313981172,2026-05-09 11:06:21,22.63,64.38,42.62,0.0,0,0,normal,-0.060000000000002274,-0.4000000000000057,0.12570247058465445
1778313982175,2026-05-09 11:06:22,22.69,64.63,42.61,0.0,0,0,normal,-0.00999999999999801,-0.39000000000000057,0.12308984974840195
1778313983179,2026-05-09 11:06:23,22.72,64.62,42.54,0.0,0,0,normal,-0.07000000000000028,-0.4399999999999977,0.12149074038778081
1778313984182,2026-05-09 11:06:24,23.11,64.28,42.52,0.0,0,0,normal,-0.01999999999999602,-0.38999999999999346,0.12131226923372666
1778313985185,2026-05-09 11:06:25,23.18,64.0,42.53,0.0,0,0,normal,0.00999999999999801,-0.3500000000000014,0.11215069227492695
1778313986188,2026-05-09 11:06:26,23.3,63.94,42.47,0.0,0,0,normal,-0.060000000000002274,-0.35999999999999943,0.10926013810051552
1778313987192,2026-05-09 11:06:27,23.03,63.72,42.39,0.0,0,0,normal,-0.0799999999999983,-0.39000000000000057,0.11673807338543009
1778313988215,2026-05-09 11:06:28,23.11,63.64,42.33,0.0,0,0,normal,-0.060000000000002274,-0.4200000000000017,0.1259673679082805
1778313989253,2026-05-09 11:06:29,23.66,63.65,42.32,0.0,0,0,normal,-0.00999999999999801,-0.4200000000000017,0.12296792716424683
1778313990256,2026-05-09 11:06:30,23.52,62.8,42.31,0.0,0,0,normal,-0.00999999999999801,-0.36999999999999744,0.11871534582054773
1778313991262,2026-05-09 11:06:31,23.35,62.91,42.28,0.0,0,0,normal,-0.030000000000001137,-0.3399999999999963,0.11775681155085904
1778313992265,2026-05-09 11:06:32,23.6,62.51,42.28,0.0,0,0,normal,0.0,-0.3299999999999983,0.1075019379668264
1778313993268,2026-05-09 11:06:33,23.96,62.39,42.28,0.0,0,0,normal,0.0,-0.259999999999998,0.10027185270254245
1778313994272,2026-05-09 11:06:34,24.07,62.4,42.28,0.0,0,0,normal,0.0,-0.240000000000002,0.08870049479982037
1778313995275,2026-05-09 11:06:35,24.11,61.93,42.25,0.0,0,0,normal,-0.030000000000001137,-0.28000000000000114,0.06573515886544652
1778313996279,2026-05-09 11:06:36,24.17,62.49,42.22,0.0,0,0,normal,-0.030000000000001137,-0.25,0.046714261443119416
1778313997282,2026-05-09 11:06:37,24.29,62.05,42.15,0.0,0,0,normal,-0.07000000000000028,-0.240000000000002,0.053124591501259
1778313998285,2026-05-09 11:06:38,24.03,61.37,42.12,0.0,0,0,normal,-0.030000000000001137,-0.21000000000000085,0.06657493689201076
1778313999288,2026-05-09 11:06:39,24.39,61.24,42.05,0.0,0,0,normal,-0.07000000000000028,-0.2700000000000031,0.08638415492539431
1778314000291,2026-05-09 11:06:40,24.21,61.47,41.99,0.0,0,0,normal,-0.05999999999999517,-0.3200000000000003,0.10697871023898081
1778314001295,2026-05-09 11:06:41,24.28,61.79,41.95,0.0,0,0,normal,-0.03999999999999915,-0.3299999999999983,0.1254370138531495
1778314002298,2026-05-09 11:06:42,24.69,60.94,41.94,0.0,0,0,normal,-0.010000000000005116,-0.3400000000000034,0.1341682194525282
1778314003301,2026-05-09 11:06:43,24.45,61.31,41.89,0.0,0,0,normal,-0.04999999999999716,-0.39000000000000057,0.14001587211596703
1778314004306,2026-05-09 11:06:44,24.59,60.59,41.83,0.0,0,0,normal,-0.060000000000002274,-0.45000000000000284,0.1423181100366163
1778314005309,2026-05-09 11:06:45,24.77,60.25,41.76,0.0,0,0,normal,-0.07000000000000028,-0.490000000000002,0.1459071241880891
1778314006313,2026-05-09 11:06:46,24.62,60.28,41.73,0.0,0,0,normal,-0.030000000000001137,-0.490000000000002,0.1423181100366137
1778314007318,2026-05-09 11:06:47,24.84,60.72,41.68,0.0,0,0,normal,-0.04999999999999716,-0.46999999999999886,0.14323252268777598
1778314008321,2026-05-09 11:06:48,25.05,60.55,41.61,0.0,0,0,normal,-0.07000000000000028,-0.509999999999998,0.14461058820906036
1778314009325,2026-05-09 11:06:49,24.85,59.83,41.56,0.0,0,0,normal,-0.04999999999999716,-0.4899999999999949,0.14960689229500734
1778314010329,2026-05-09 11:06:50,25.3,59.94,41.55,0.0,0,0,normal,-0.010000000000005116,-0.44000000000000483,0.15025903559428727
1778314011333,2026-05-09 11:06:51,25.04,59.85,41.51,0.0,0,0,normal,-0.03999999999999915,-0.44000000000000483,0.14960689229500573
1778314012336,2026-05-09 11:06:52,25.26,59.25,41.48,0.0,0,0,normal,-0.030000000000001137,-0.46000000000000085,0.14007934259614857
1778314013339,2026-05-09 11:06:53,25.4,59.16,41.4,0.0,0,0,normal,-0.0799999999999983,-0.490000000000002,0.1363370007654723
1778314014343,2026-05-09 11:06:54,25.31,59.59,41.33,0.0,0,0,normal,-0.07000000000000028,-0.5,0.13876038499655127
1778314015346,2026-05-09 11:06:55,25.41,58.5,41.31,0.0,0,0,normal,-0.01999999999999602,-0.44999999999999574,0.14001587211595465
1778314016352,2026-05-09 11:06:56,25.64,58.9,41.3,0.0,0,0,normal,-0.010000000000005116,-0.4299999999999997,0.13283657461521442
1778314017356,2026-05-09 11:06:57,25.46,58.83,41.23,0.0,0,0,normal,-0.07000000000000028,-0.45000000000000284,0.13113182510551918
1778314018364,2026-05-09 11:06:58,25.62,58.23,41.19,0.0,0,0,normal,-0.03999999999999915,-0.4200000000000017,0.13359973386514984
1778314019368,2026-05-09 11:06:59,25.79,58.16,41.17,0.0,0,0,normal,-0.01999999999999602,-0.39000000000000057,0.13408537910167312
1778314020370,2026-05-09 11:07:00,25.85,57.95,41.11,0.0,0,0,normal,-0.060000000000002274,-0.4399999999999977,0.1322497637047089
1778314021372,2026-05-09 11:07:01,26.1,58.43,41.07,0.0,0,0,normal,-0.03999999999999915,-0.4399999999999977,0.1288797889506034
1778314022373,2026-05-09 11:07:02,25.9,57.5,41.05,0.0,0,0,normal,-0.020000000000003126,-0.4299999999999997,0.1182464469748476
1778314023375,2026-05-09 11:07:03,26.0,57.46,41.0,0.0,0,0,normal,-0.04999999999999716,-0.3999999999999986,0.116733314296394
1778314024377,2026-05-09 11:07:04,26.43,57.35,40.94,0.0,0,0,normal,-0.060000000000002274,-0.39000000000000057,0.12445882853359515
1778314025378,2026-05-09 11:07:05,26.35,57.33,40.9,0.0,0,0,normal,-0.03999999999999915,-0.4100000000000037,0.12859929151334182
1778314026380,2026-05-09 11:07:06,26.51,57.67,40.83,0.0,0,0,normal,-0.07000000000000028,-0.46999999999999886,0.13160969231431252
1778314027382,2026-05-09 11:07:07,26.21,57.37,40.76,0.0,0,0,normal,-0.07000000000000028,-0.46999999999999886,0.1432014897500171
1778314028383,2026-05-09 11:07:08,26.71,56.71,40.73,0.0,0,0,normal,-0.030000000000001137,-0.46000000000000085,0.14982953276589667
1778314029385,2026-05-09 11:07:09,26.79,56.44,40.67,0.0,0,0,normal,-0.05999999999999517,-0.5,0.15385418782428054
1778314030386,2026-05-09 11:07:10,26.67,56.51,40.59,0.0,0,0,normal,-0.0799999999999983,-0.519999999999996,0.1647354781998565
1778314031390,2026-05-09 11:07:11,26.57,56.54,40.54,0.0,0,0,normal,-0.05000000000000426,-0.5300000000000011,0.1725913606694593
